Date, NAVPS 
26-Sep-16, 1.2830 
27-Sep-16, 1.2712 
28-Sep-16, 1.2793 
29-Sep-16, 1.2973 
30-Sep-16, 1.2840 
3-Oct-16, 1.2927 
4-Oct-16, 1.2960 
5-Oct-16, 1.2854 
6-Oct-16, 1.2827 
7-Oct-16, 1.2766 
10-Oct-16, 1.2702 
11-Oct-16, 1.2668 
12-Oct-16, 1.2517 
13-Oct-16, 1.2349 
14-Oct-16, 1.2444 
17-Oct-16, 1.2410 
18-Oct-16, 1.2661 
19-Oct-16, 1.2855 
20-Oct-16, 1.2880 
21-Oct-16, 1.2821 
24-Oct-16, 1.2769 
25-Oct-16, 1.2739 
26-Oct-16, 1.2616 
27-Oct-16, 1.2531 
28-Oct-16, 1.2446 
2-Nov-16, 1.2248 
3-Nov-16, 1.2126 
4-Nov-16, 1.2220 
7-Nov-16, 1.2216 
8-Nov-16, 1.2378 
9-Nov-16, 1.2113 
10-Nov-16, 1.2216 
11-Nov-16, 1.1917 
14-Nov-16, 1.1770 
15-Nov-16, 1.1739 
16-Nov-16, 1.1902 
17-Nov-16, 1.2010 
18-Nov-16, 1.2040 
21-Nov-16, 1.1933 
22-Nov-16, 1.1692 
23-Nov-16, 1.1688 
24-Nov-16, 1.1747 
25-Nov-16, 1.1771 
28-Nov-16, 1.1694 
29-Nov-16, 1.1655 
1-Dec-16, 1.1758 
2-Dec-16, 1.1768 
5-Dec-16, 1.1607 
6-Dec-16, 1.1627 
7-Dec-16, 1.1686 
8-Dec-16, 1.1888 
9-Dec-16, 1.1916 
12-Dec-16, 1.1696 
13-Dec-16, 1.1724 
14-Dec-16, 1.1790 
15-Dec-16, 1.1716 
16-Dec-16, 1.1701 
19-Dec-16, 1.1505 
20-Dec-16, 1.1423 
21-Dec-16, 1.1459 
22-Dec-16, 1.1311 
23-Dec-16, 1.1260 
27-Dec-16, 1.1404 
28-Dec-16, 1.1603 
29-Dec-16, 1.1625 
3-Jan-17, 1.1628 
4-Jan-17, 1.1867 
5-Jan-17, 1.2044 
6-Jan-17, 1.2119 
9-Jan-17, 1.2154 
10-Jan-17, 1.2279 
11-Jan-17, 1.2255 
12-Jan-17, 1.2174 
13-Jan-17, 1.2129 
16-Jan-17, 1.2113 
17-Jan-17, 1.1964 
18-Jan-17, 1.2013 
19-Jan-17, 1.2119 
20-Jan-17, 1.2130 
23-Jan-17, 1.2312 
24-Jan-17, 1.2333 
25-Jan-17, 1.2265 
26-Jan-17, 1.2282 
27-Jan-17, 1.2282 
30-Jan-17, 1.2288 
31-Jan-17, 1.2144 
1-Feb-17, 1.2146 
2-Feb-17, 1.2131 
3-Feb-17, 1.2159 
6-Feb-17, 1.2231 
7-Feb-17, 1.2212 
8-Feb-17, 1.2169 
9-Feb-17, 1.2199 
10-Feb-17, 1.2183 
13-Feb-17, 1.2260 
14-Feb-17, 1.2164 
15-Feb-17, 1.2118 
16-Feb-17, 1.2255 
17-Feb-17, 1.2227 
20-Feb-17, 1.2293 
21-Feb-17, 1.2266 
22-Feb-17, 1.2295 
23-Feb-17, 1.2325 
24-Feb-17, 1.2235 
27-Feb-17, 1.2212 
28-Feb-17, 1.2175 
1-Mar-17, 1.2127 
2-Mar-17, 1.2225 
3-Mar-17, 1.2220 
6-Mar-17, 1.2286 
7-Mar-17, 1.2251 
8-Mar-17, 1.2258 
9-Mar-17, 1.2259 
10-Mar-17, 1.2094 
13-Mar-17, 1.2198 
14-Mar-17, 1.2236 
15-Mar-17, 1.2221 
16-Mar-17, 1.2281 
17-Mar-17, 1.2389 
20-Mar-17, 1.2333 
21-Mar-17, 1.2325 
22-Mar-17, 1.2207 
23-Mar-17, 1.2261 
24-Mar-17, 1.2217 
27-Mar-17, 1.2186 
28-Mar-17, 1.2302 
29-Mar-17, 1.2304 
30-Mar-17, 1.2332 
31-Mar-17, 1.2287 
3-Apr-17, 1.2323 
4-Apr-17, 1.2461 
5-Apr-17, 1.2621 
6-Apr-17, 1.2604 
7-Apr-17, 1.2643 
10-Apr-17, 1.2696 
11-Apr-17, 1.2656 
12-Apr-17, 1.2715 
17-Apr-17, 1.2651 
18-Apr-17, 1.2663 
19-Apr-17, 1.2570 
20-Apr-17, 1.2619 
21-Apr-17, 1.2653 
22-Apr-17, 1.2658 
25-Apr-17, 1.2815 
26-Apr-17, 1.2843 
27-Apr-17, 1.2746 
2-May-17, 1.2840 
3-May-17, 1.2807 
4-May-17, 1.2906 
5-May-17, 1.3018 
8-May-17, 1.3186 
9-May-17, 1.3127 
10-May-17, 1.2943 
11-May-17, 1.2971 
12-May-17, 1.2954 
15-May-17, 1.2876 
16-May-17, 1.2898 
17-May-17, 1.2943 
18-May-17, 1.2841 
19-May-17, 1.2870 
22-May-17, 1.2939 
23-May-17, 1.2958 
24-May-17, 1.2997 
25-May-17, 1.3045 
26-May-17, 1.3039 
29-May-17, 1.3080 
30-May-17, 1.3021 
31-May-17, 1.2988 
1-Jun-17, 1.3143 
2-Jun-17, 1.3110 
5-Jun-17, 1.3231 
6-Jun-17, 1.3179 
7-Jun-17, 1.3253 
8-Jun-17, 1.3194 
9-Jun-17, 1.3228 
13-Jun-17, 1.3102 
14-Jun-17, 1.3163 
15-Jun-17, 1.3159 
16-Jun-17, 1.3043 
19-Jun-17, 1.3121 
20-Jun-17, 1.3099 
21-Jun-17, 1.3037 
22-Jun-17, 1.3023 
23-Jun-17, 1.2957 
27-Jun-17, 1.3045 
28-Jun-17, 1.3014 
29-Jun-17, 1.2912 
30-Jun-17, 1.2965 
3-Jul-17, 1.3012 
4-Jul-17, 1.2992 
5-Jul-17, 1.3022 
6-Jul-17, 1.3113 
7-Jul-17, 1.3116 
10-Jul-17, 1.3048 
11-Jul-17, 1.3094 
12-Jul-17, 1.3223 
13-Jul-17, 1.3200 
14-Jul-17, 1.3146 
17-Jul-17, 1.3204 
18-Jul-17, 1.3224 
19-Jul-17, 1.3267 
20-Jul-17, 1.3167 
21-Jul-17, 1.3243 
24-Jul-17, 1.3226 
25-Jul-17, 1.3225 
26-Jul-17, 1.3325 
27-Jul-17, 1.3319 
28-Jul-17, 1.3358 
31-Jul-17, 1.3255 
1-Aug-17, 1.3124 
2-Aug-17, 1.3096 
3-Aug-17, 1.3098 
4-Aug-17, 1.3160 
7-Aug-17, 1.3229 
8-Aug-17, 1.3253 
9-Aug-17, 1.3212 
10-Aug-17, 1.3179 
11-Aug-17, 1.3112 
14-Aug-17, 1.3177 
15-Aug-17, 1.3240 
16-Aug-17, 1.3318 
17-Aug-17, 1.3364 
18-Aug-17, 1.3285 
22-Aug-17, 1.3298 
23-Aug-17, 1.3286 
24-Aug-17, 1.3289 
25-Aug-17, 1.3289 
29-Aug-17, 1.3196 
30-Aug-17, 1.3185 
31-Aug-17, 1.3205 
4-Sep-17, 1.3307 
5-Sep-17, 1.3328 
6-Sep-17, 1.3236 
7-Sep-17, 1.3315 
8-Sep-17, 1.3320 
11-Sep-17, 1.3372 
12-Sep-17, 1.3372 
13-Sep-17, 1.3334 
14-Sep-17, 1.3463 
