Philequity Fund,,Philequity PSE Index Fund,,Philequity Dividend Yield Fund,,Philequity Peso Bond Fund,,Philequity Dollar Income Fund,
Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS ,Date, NAVPS 
6-Jun-96, 2.1030 ,,,,,,,,
7-Jun-96, 2.0839 ,,,,,,,,
10-Jun-96, 2.0712 ,,,,,,,,
11-Jun-96, 2.0712 ,,,,,,,,
13-Jun-96, 2.0297 ,,,,,,,,
14-Jun-96, 2.0052 ,,,,,,,,
17-Jun-96, 1.9869 ,,,,,,,,
18-Jun-96, 2.0133 ,,,,,,,,
19-Jun-96, 2.0264 ,,,,,,,,
20-Jun-96, 1.9997 ,,,,,,,,
21-Jun-96, 2.0101 ,,,,,,,,
24-Jun-96, 2.0302 ,,,,,,,,
25-Jun-96, 2.0179 ,,,,,,,,
26-Jun-96, 2.0195 ,,,,,,,,
27-Jun-96, 2.0476 ,,,,,,,,
28-Jun-96, 2.0653 ,,,,,,,,
1-Jul-96, 2.0839 ,,,,,,,,
2-Jul-96, 2.1023 ,,,,,,,,
3-Jul-96, 2.1023 ,,,,,,,,
5-Jul-96, 2.1544 ,,,,,,,,
8-Jul-96, 2.1147 ,,,,,,,,
9-Jul-96, 2.0779 ,,,,,,,,
10-Jul-96, 2.0601 ,,,,,,,,
11-Jul-96, 2.0385 ,,,,,,,,
12-Jul-96, 2.0680 ,,,,,,,,
15-Jul-96, 2.0610 ,,,,,,,,
16-Jul-96, 2.0344 ,,,,,,,,
17-Jul-96, 2.0298 ,,,,,,,,
18-Jul-96, 2.0282 ,,,,,,,,
19-Jul-96, 2.0665 ,,,,,,,,
22-Jul-96, 2.0419 ,,,,,,,,
